"climbRate","Sgz","p","q","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SaTime1","SaTime2","SaTime3","SaTime4","diffSaTime1","diffSaTime2","diffSaTime3","Sa","Goal"
-275,14,0.21,0.09,-0.3,-11,-4,-0.008,-0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.018
462,24,0.25,0.02,-0.5,-11,4,0.001,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.019
-534,11,-0.28,0.07,-0.5,-11,-2,0.006,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.018
-149,-40,0.11,0.07,1.5,-9,-5,-0.01,0.1,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,-7e-04,0.02
-197,-43,-0.05,0.11,1.6,-9,-8,-0.021,-0.6,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.019
-202,-56,-0.42,0,0.5,-11,3,0.001,0.3,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.017
373,-51,0.01,-0.06,-0.9,-12,12,0.01,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.018
383,7,-0.01,0.09,0.2,-11,-6,-0.009,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
172,17,-0.18,0.15,0,-11,-12,-0.008,-0.3,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.019
6,21,-0.24,0.09,-0.8,-12,-5,-0.001,-0.1,-6e-04,-6e-04,-6e-04,-7e-04,1e-04,0,1e-04,-7e-04,0.018
106,23,0.04,0.01,-1,-12,5,0.01,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
-311,13,-0.2,0.07,0.1,-11,-3,0.004,-0.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.018
84,-11,0.22,0.01,0.6,-10,4,0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
357,9,0.33,0.02,-0.2,-11,3,0.002,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
321,21,0.27,0.1,0.6,-10,-7,-0.011,-0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
-16,33,-0.46,0.11,0.1,-11,-8,-0.014,0,-9e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,-9e-04,0.018
320,48,0.41,0.01,-0.7,-12,5,0.009,-0.1,-6e-04,-6e-04,-6e-04,-5e-04,0,0,-1e-04,-5e-04,0.019
344,54,0.46,0.11,-0.3,-11,-4,0.004,-1.5,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
62,64,0.24,0.16,1,-10,-15,-0.017,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.02
-499,48,-0.27,0.15,0.8,-10,-13,-0.01,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.018
-270,-21,0.17,-0.07,-0.6,-11,5,0.008,0.5,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.018
394,-17,-0.1,-0.03,-0.3,-11,8,-0.002,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
478,6,-0.13,0.04,-0.6,-11,1,-0.002,0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.019
193,60,0.06,0.1,0.1,-11,-7,-0.009,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
-380,53,-0.17,0.15,-0.4,-11,-12,-0.003,0,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-366,26,-0.02,0.01,-0.9,-12,4,0.009,0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.017
-92,14,0.28,-0.06,-0.5,-11,11,0.01,0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.018
356,40,0.45,0.03,-0.3,-11,2,0.002,0,-7e-04,-7e-04,-7e-04,-6e-04,-2e-04,0,-2e-04,-6e-04,0.019
296,51,0.35,0.09,0.5,-11,-6,-0.008,0.3,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.021
-146,17,0.16,0.1,1.4,-10,-7,-0.013,-0.1,-7e-04,-8e-04,-8e-04,-8e-04,1e-04,0,0,-8e-04,0.018
372,57,0.24,0.01,-0.9,-12,5,0.013,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.019
346,76,0.54,0.07,0.5,-11,-4,0.004,-0.1,-7e-04,-7e-04,-7e-04,-5e-04,-2e-04,0,-3e-04,-5e-04,0.02
-531,44,-0.25,0.02,0.5,-10,3,0.006,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.017
253,48,0.29,0.04,-0.5,-11,2,0.003,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
-16,60,0.01,0.11,0.6,-10,-9,-0.01,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.02
-212,55,-0.27,0.12,0.3,-11,-9,-0.011,-0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.018
-48,9,-0.05,0.04,-0.7,-12,2,0.006,0,-6e-04,-6e-04,-6e-04,-6e-04,1e-04,0,0,-6e-04,0.017
177,11,0.21,-0.03,-0.5,-11,9,0.007,-0.2,-7e-04,-6e-04,-6e-04,-5e-04,-2e-04,0,-1e-04,-5e-04,0.018
260,87,0.12,0.06,1.1,-10,-4,-0.015,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.019
-120,94,-0.36,0.12,0.4,-11,-9,-0.008,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.018
13,77,0.42,0.04,-0.3,-11,2,0.005,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
-337,71,0.3,0.17,1.2,-10,-15,-0.01,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-514,33,-0.23,0.06,1.5,-10,-4,-0.015,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.017
426,19,0.21,0.04,-1.1,-12,3,0.009,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
-242,-20,-0.65,0.03,-0.6,-11,2,-0.007,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,-0.0012,0.03
-225,-23,-0.65,-0.02,-1.2,-11,2,0.011,0.3,-6e-04,-7e-04,-7e-04,-8e-04,1e-04,0,1e-04,-8e-04,0.029
-29,-30,-0.02,0.01,-2.2,-12,6,0.019,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.03
-12,-14,-0.15,0.13,0.8,-9,-9,-0.019,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,-0.0012,0.029
-75,-15,-0.28,0.02,0.6,-9,-7,-0.017,1.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,-0.0012,0.028
184,-12,-0.1,0.01,-1,-11,5,0.007,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.029
165,-3,0.02,0.09,-1.1,-11,-4,0.003,-0.3,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.03
66,-4,0.11,0.01,0.3,-10,3,-0.009,-0.2,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.028
-169,-8,-0.21,0.09,-0.7,-11,-5,0.002,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.023
162,-11,0.11,-0.09,-0.9,-11,14,0.01,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.027
179,-2,0.29,0.1,-0.4,-10,-5,0.006,-0.4,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.029
-277,-4,0.14,0.19,0.6,-9,-16,-0.009,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.024
-103,-33,-0.06,0.01,-0.7,-11,4,0.011,-0.1,-5e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.023
100,-34,0.3,-0.07,-0.4,-10,10,0.015,-0.1,-5e-04,-4e-04,-4e-04,-4e-04,-1e-04,0,0,-4e-04,0.026
-17,-26,0.43,0.02,1.8,-8,-8,-0.006,0.5,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.024
259,0,-0.06,0.02,-0.6,-10,3,0.01,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.024
265,5,0.03,0.14,-0.6,-11,-6,0.007,-1.7,-5e-04,-5e-04,-5e-04,-6e-04,0,0,1e-04,-6e-04,0.025
124,11,0.26,0.12,-0.3,-10,-11,0.012,0.4,-5e-04,-5e-04,-5e-04,-5e-04,-1e-04,0,0,-5e-04,0.024
-67,12,0.36,0.1,0.7,-9,-7,0.001,0,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.025
-93,11,0.36,0.1,0.8,-9,-8,0,-0.2,-7e-04,-7e-04,-7e-04,-6e-04,0,0,-2e-04,-6e-04,0.023
-184,4,0.25,0.05,1.7,-8,-3,-0.006,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.024
-291,-8,-0.03,0.07,2.1,-8,-6,-0.012,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.021
395,19,0.15,0.13,-0.5,-10,-11,0.007,0.8,-6e-04,-6e-04,-6e-04,-6e-04,-1e-04,0,0,-6e-04,0.024
205,30,0.05,0.12,-0.2,-10,-10,-0.009,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.025
-273,30,-0.27,0.2,-0.5,-10,-18,-0.01,0,-8e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,-9e-04,0.022
-427,13,-0.2,0.05,-1.2,-11,-3,0.006,0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-356,-3,-0.05,0.01,-1.5,-11,4,0.007,0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
415,-3,0.29,-0.1,-0.7,-11,15,0.003,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.023
88,31,0.31,0.14,1.3,-9,-13,-0.006,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.024
-178,29,0.1,0.16,1.7,-8,-15,-0.013,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.021
-334,-2,-0.3,0.04,0.9,-9,-2,-0.004,0,-6e-04,-7e-04,-7e-04,-7e-04,1e-04,0,0,-7e-04,0.02
178,-15,0.06,-0.01,-0.2,-10,4,0.002,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.022
19,-9,0.07,0.12,0.1,-10,-10,-0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-104,-12,0.06,0.07,0.3,-10,-4,-0.001,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
193,1,0.26,0.03,-0.4,-10,1,0.004,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-41,8,0.2,0.1,0.7,-9,-8,-0.004,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
44,5,-0.16,-0.01,0.8,-9,4,-0.005,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.02
12,8,-0.18,0.06,0.1,-10,-3,0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-275,0,-0.13,0.12,-0.6,-10,-9,0.002,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
-339,-9,-0.09,0.08,-0.7,-11,-2,0.003,-0.7,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
-106,-30,0.2,0.02,0,-10,3,-0.004,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
239,-25,-0.11,-0.04,0.3,-10,7,-0.007,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.02
75,-25,-0.42,-0.07,0.5,-9,9,-0.009,0.1,-5e-04,-7e-04,-7e-04,-8e-04,1e-04,0,1e-04,-8e-04,0.018
371,-12,-0.17,-0.04,-0.6,-10,8,0.009,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.019
-311,-16,0.02,0.03,1.7,-8,-1,-0.007,0,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.017
3,-27,-0.32,-0.07,1.1,-9,10,-0.008,0,-5e-04,-6e-04,-6e-04,-7e-04,0,0,1e-04,-7e-04,0.018
463,-7,0.13,-0.05,0.6,-9,9,0.009,-0.1,-4e-04,-4e-04,-4e-04,-4e-04,0,0,0,-4e-04,0.018
544,32,0.06,0.09,1.2,-9,-8,-0.009,0.6,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.022
-97,47,-0.22,0.22,0.9,-9,-22,-0.008,0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.02
-373,35,-0.33,0.1,0.2,-10,-8,-0.004,0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-276,17,-0.26,-0.02,-0.8,-11,7,0.004,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.019
131,5,0.4,-0.04,-0.4,-10,8,0.008,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.02
-279,4,-0.09,0.11,1.4,-9,-10,-0.012,0,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-64,-21,-0.44,-0.02,-0.8,-11,6,0.002,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.019
139,-17,0.41,0.1,-1.4,-11,2,0.01,-0.7,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.023
-123,-15,0.57,0.22,-0.5,-10,-26,0.007,1.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.022
-214,-16,0.6,0.24,-0.3,-10,-23,0.006,0.3,-5e-04,-5e-04,-5e-04,-5e-04,-1e-04,0,-1e-04,-5e-04,0.023
-670,-44,0.33,0.05,1.4,-9,-4,-0.014,-0.3,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.016
-628,-57,0.15,-0.28,1.7,-8,20,-0.018,4.3,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.015
589,-62,-0.2,-0.24,1.3,-9,29,0.002,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.017
875,-44,-0.16,-0.11,1,-9,8,0.004,0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.019
973,-25,-0.13,0.09,0.9,-9,-4,0.001,-2.3,-7e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,-2e-04,-6e-04,0.021
943,-13,-0.18,0.24,0.8,-9,-6,-0.01,-2.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.025
452,11,-0.35,0.33,0.3,-10,-39,-0.009,1.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.024
-214,15,-0.29,0.34,-0.5,-10,-33,0.006,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.02
-509,9,-0.26,-0.02,-0.7,-11,-22,-0.001,4.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-253,-30,0.54,-0.12,-0.2,-10,20,0.017,-0.3,-4e-04,-3e-04,-3e-04,-3e-04,-2e-04,0,-1e-04,-3e-04,0.017
316,14,-0.09,0.02,0.8,-9,1,0.006,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.022
189,21,-0.01,0.2,0.7,-9,-25,0.002,0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.023
-461,16,-0.03,0.28,0.7,-9,-28,-0.002,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-732,1,0.01,0.14,0.7,-9,-9,0.003,0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.018
-788,-18,0.08,-0.09,0.7,-9,13,0.006,1.7,-5e-04,-5e-04,-5e-04,-5e-04,-1e-04,0,0,-5e-04,0.017
-547,-43,0.07,-0.08,0.9,-9,11,-0.003,0,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.014
555,-46,0.13,-0.24,1.3,-9,28,0.001,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.019
737,-24,0.07,-0.02,1.5,-9,-4,-0.006,2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.024
70,1,-0.28,0.29,1.2,-9,-31,-0.012,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,-8e-04,0.018
23,-3,-0.32,-0.03,-0.2,-10,7,0.008,0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.019
105,4,0.07,0.04,-0.8,-11,1,0.008,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.021
-468,-7,0.05,0.17,0.1,-10,-16,-0.009,0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-512,-25,-0.04,0.02,0.1,-10,3,-0.004,-0.9,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.016
345,-37,-0.09,-0.12,-0.4,-10,16,-0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.018
507,-24,-0.1,-0.03,-0.5,-10,4,-0.002,0.9,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.022
229,-8,-0.14,0.24,-0.8,-11,-20,-0.003,-0.3,-6e-04,-6e-04,-6e-04,-7e-04,1e-04,0,1e-04,-7e-04,0.023
-147,-6,-0.04,0.26,-0.9,-11,-27,0.007,0.5,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.017
107,-17,0.37,-0.09,-0.2,-10,13,0.008,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.02
-176,-13,0.07,0.11,1.5,-8,-11,-0.013,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.018
-215,-19,-0.12,0.03,1.5,-9,5,-0.011,-1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,-7e-04,0.016
66,-23,-0.44,-0.1,0.8,-9,14,-0.013,0.2,-8e-04,-8e-04,-8e-04,-8e-04,1e-04,0,0,-8e-04,0.017
213,-20,-0.44,-0.1,0.2,-10,11,0.009,0.3,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.021
39,-9,-0.12,0.14,-0.8,-11,-13,0.01,0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.022
-192,-11,0.13,0.18,-0.8,-11,-17,0.016,0.5,-4e-04,-4e-04,-4e-04,-4e-04,0,0,0,-4e-04,0.015
-261,-16,0.32,-0.35,-0.5,-10,22,0.016,7.1,-3e-04,-3e-04,-3e-04,-3e-04,0,0,0,-3e-04,0.016
342,-12,0.28,-0.12,0.8,-9,16,-0.006,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,-6e-04,0.021
-30,9,-0.49,0.14,0.3,-10,-12,-0.013,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,-9e-04,0.017
150,8,-0.38,-0.09,-1.4,-11,15,0.016,0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,-5e-04,0.02
