"theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","alpha8","a1","a2","a3","a4","a5","a6","a7","a8","d1","d2","d3","d4","d5","d6","d7","d8","y"
0.082518317,0.18635717,-0.063000758,-0.13702076,-0.12055662,0.13212057,0.072710321,-0.037174457,-0.39269908,-0.39269908,-0.39269908,0.39269908,0.39269908,0,0.39269908,0.39269908,0.28581095,0.2956093,0,0.30553785,0.30157629,0.30170484,0.32622496,0,0,0.31440303,0,0,0,0,0,0.31577267,1.816641
0.032178869,-0.15200232,0.040075242,-0.012865967,-0.096728528,-0.25633684,0.12686313,0.303805,-0.39269908,0,0.39269908,0.39269908,0,-0.39269908,0,0.39269908,0.30862729,0.28621277,0.29321739,0.29738172,0.27261294,0,0,0.29946762,0,0,0,0.2705318,0,0.29126395,0,0.29765472,1.7125342
-0.04177865,0.28635385,-0.17073417,0.001520142,-0.21203279,0.18763323,0.020921784,-0.22594709,0,-0.39269908,-0.39269908,0.39269908,0,0,-0.39269908,0,0,0,0.28119934,0,0.30814339,0,0,0,0.28982698,0,0.30287642,0,0,0.31153791,0.27836105,0,0.99045495
0.2473714,-0.012515151,0.14457325,0.1348414,-0.065486419,0.18381503,-0.062978756,0.23276677,0.39269908,0,0,-0.39269908,0,0.39269908,-0.39269908,0,0.33097501,0.32144029,0.30121872,0.30128838,0.31161788,0,0,0.30170621,0,0.29291481,0.29263827,0.30319751,0,0,0,0,1.3180041
-0.19460589,0.28503994,-0.26254348,0.11280418,0.26288415,-0.042069174,-0.19825532,-0.10391402,0.39269908,0,0.39269908,0,0.39269908,0,0,0,0.29002514,0,0.32076903,0.32406906,0,0.31334607,0,0.29088908,0,0,0.30040889,0.27747163,0,0.30180063,0,0.31037393,1.5404919
0.21807353,0.17979311,0.19900456,0.13012712,-0.1303365,-0.24721154,0.18606349,0.027821399,0.39269908,-0.39269908,-0.39269908,0,0,0.39269908,0.39269908,0,0.33099692,0.30670641,0,0.28901578,0,0.30447164,0.2717269,0.31284275,0.31252738,0,0.27494944,0,0,0,0.28394648,0.30802158,1.5596731
-0.11884356,0.020879121,0.31364667,-0.13295918,0.2840503,0.069141449,0.29937699,0.054329181,0.39269908,0.39269908,-0.39269908,-0.39269908,0,0,0.39269908,0,0.31992684,0.30120543,0.31364992,0.30017325,0.31201297,0.32490256,0,0.30482151,0.32614907,0,0.26483983,0.2867573,0,0.31164104,0.32268088,0,2.4765258
-0.076268492,-0.074741703,-0.17506226,0.14433071,-0.17158469,0.15813551,-0.0038320081,0.31224783,0.39269908,0.39269908,0.39269908,0.39269908,-0.39269908,-0.39269908,0.39269908,0,0,0,0.2945349,0.29395226,0,0,0.29871081,0,0,0,0.29628793,0.28916884,0,0.27347689,0.29121421,0,1.6448612
-0.16673758,-0.057878042,-0.11916115,-0.29031524,0.1934129,-0.22939208,-0.03013964,-0.13218849,0,-0.39269908,-0.39269908,0.39269908,-0.39269908,0,-0.39269908,0,0,0.29342518,0.29326582,0.30690501,0.28051618,0.29197258,0.2892529,0.30177913,0.30159681,0.29391781,0.30046103,0,0.29389886,0.30923275,0.28046959,0,2.449955
0.25192964,-0.057035734,0.21450419,-0.11979764,-0.30630745,-0.29552918,-0.10088949,0.18198965,0,0,0,0,-0.39269908,0.39269908,0,0.39269908,0.31562525,0.28496962,0.31810069,0.29674356,0.303518,0,0.30516867,0.29915643,0.30258812,0.30140228,0,0.28004806,0,0.29697483,0.31185093,0.29595967,2.2004877
-0.11343148,-0.12438473,-0.11845704,0.23402273,-0.053914006,-0.097381194,0.084044509,0.076009925,0.39269908,-0.39269908,0,-0.39269908,0,0,0.39269908,0.39269908,0.28608408,0.29526993,0.30127979,0.32794428,0.30591037,0.31191362,0.32130598,0.28765765,0.25762421,0,0,0.32087596,0.29354039,0.27780889,0,0,2.0915462
-0.16299646,-0.012661443,0.19911112,0.03610293,-0.17375083,0.19433183,0.13541875,0.21323711,0,0.39269908,-0.39269908,0.39269908,0.39269908,0.39269908,0.39269908,-0.39269908,0.300034,0.31358224,0.30795691,0.29407436,0.30927095,0,0.31437972,0.28265177,0.30119358,0.2912765,0.29393773,0,0,0.28742279,0.32246515,0.30823848,2.9389294
-0.15264813,-0.13250341,-0.22395796,0.1949643,0.083874657,-0.26542026,0.14328744,-0.11296509,0.39269908,0,0,0.39269908,-0.39269908,0,0.39269908,0.39269908,0.29305438,0.30261755,0.31645149,0.29782049,0.30577642,0.30137399,0.28437864,0,0,0.32115383,0.33947195,0.33218514,0,0,0,0,2.0816036
0.19715616,-0.14828791,0.26474528,-0.17796021,-0.18111127,0.26617209,-0.073604056,0.095810409,0,0,0,-0.39269908,0,0,0,0,0.29423707,0,0.29810869,0.30123544,0.31613489,0.30378444,0.31280787,0.31161273,0,0,0,0.30763815,0.30244037,0.31706783,0.28474207,0.3306988,2.6278522
0.29685051,-0.31094263,-0.2875682,-0.13253302,-0.09319222,0.11646086,0.14538389,-0.063728845,0.39269908,0.39269908,0.39269908,-0.39269908,0,0,0.39269908,-0.39269908,0.29923885,0.3014467,0,0,0.32817297,0.3150536,0,0.31600167,0,0.31688129,0,0,0.27441805,0.28456194,0,0,1.5067846
0.0066901922,-0.026956022,-0.032208524,0.28190259,-0.21323532,0.082834436,-0.15549195,-0.17650073,-0.39269908,0.39269908,-0.39269908,-0.39269908,0,0,0.39269908,0.39269908,0.30080247,0.32718079,0.28480598,0.2863477,0.29296407,0.3060465,0.2985617,0.29253558,0.29108566,0.29151951,0,0.3032362,0.29945773,0,0,0.25837883,2.5472994
-0.08215969,0.18621602,0.077976099,-0.12816598,-0.20974934,0.2381537,0.26011177,-0.14179272,0,0,-0.39269908,0.39269908,-0.39269908,0,-0.39269908,0,0.26797435,0.27774729,0.29724351,0.30152672,0.28486423,0,0,0.30858393,0.31325027,0,0,0,0,0,0,0,1.7749267
-0.011585551,0.060380465,0.080046229,0.10699998,0.10109579,0.14363992,0.15641043,-0.094717542,0.39269908,0,0.39269908,0,0.39269908,0.39269908,-0.39269908,0,0,0.28839792,0.28903999,0.29846945,0.28991962,0.30743143,0,0.29687122,0,0,0,0.28907281,0.32855919,0.29812374,0.29314309,0,1.5726946
0.2356827,0.19919996,0.27252749,-0.07263869,-0.015557049,-0.08681421,-0.13079287,0.2507061,0.39269908,0,-0.39269908,0.39269908,0,0,-0.39269908,0.39269908,0.27514451,0.30410253,0,0,0.28256362,0,0.3045239,0,0.28799814,0.33754413,0.31286415,0,0,0.31823793,0,0,1.1599404
-0.29038343,0.30409167,0.12585225,0.27856644,0.26485019,-0.29957623,-0.26130062,0.26697337,0.39269908,0,0,-0.39269908,-0.39269908,0.39269908,-0.39269908,0.39269908,0.29342295,0.31432535,0.32386546,0.28934067,0,0,0.30099892,0,0,0.27190912,0.27750131,0,0.31037354,0.29799948,0,0,1.3168705
0.17901822,-0.25815443,-0.26210199,-0.0068474024,-0.10200086,-0.27548642,-0.021091254,-0.10905106,0,-0.39269908,0.39269908,-0.39269908,0.39269908,0,0.39269908,0,0.29437178,0.30199168,0.29043221,0.30150863,0.33115157,0,0.2896519,0.29152966,0,0,0,0.30050893,0.30623085,0.30277557,0.27809165,0,1.9583847
-0.125325,-0.21351032,-0.14089894,0.044028306,-0.17548557,-0.058844395,-0.024380261,-0.095371451,0,0,0.39269908,0.39269908,-0.39269908,0.39269908,0.39269908,0.39269908,0.31008644,0.31048526,0.3076393,0.33004733,0.31875759,0,0.29317552,0.28573699,0.30087447,0,0,0.30934993,0.31704912,0.29649792,0,0,2.624177
0.0083409203,0.070815605,0.16257054,-0.23425932,-0.15254027,-0.20475312,0.014947506,-0.1046778,0,0,0.39269908,-0.39269908,0,0,0,-0.39269908,0.29945363,0.29545339,0.28495121,0.3096804,0.28609543,0.29300056,0.27695068,0,0,0,0.32111865,0.29299549,0,0.29234294,0.29955622,0.30303062,2.5744109
0.16681245,0.059558151,0.082424861,-0.12771397,-0.15259882,0.067818035,0.04790291,0.22816659,0.39269908,0.39269908,0,0.39269908,-0.39269908,0.39269908,0,0.39269908,0.30616556,0.31662922,0.2934314,0.30327717,0,0,0,0,0,0,0,0.29324321,0,0,0.3012781,0.3089566,1.5296869
-0.27699689,-0.27480846,0.063660862,-0.078344184,0.224935,-0.11005655,0.049362711,0.25861752,-0.39269908,-0.39269908,0.39269908,0.39269908,0,0,0,0,0,0.32188536,0.29627985,0.30290018,0.35437354,0.3026658,0.3085791,0.29255494,0.29219842,0.28185861,0,0.30655506,0.31419618,0.30665272,0,0,2.1653099
0.13393437,-0.23032411,0.013130102,0.13782279,-0.22277852,-0.088464893,-0.22781213,0.13464378,-0.39269908,0,-0.39269908,-0.39269908,0,-0.39269908,-0.39269908,-0.39269908,0,0.30799514,0,0,0.31830165,0.2822319,0.30367207,0,0.31175418,0.29408147,0.28300749,0.29907393,0,0.28938708,0,0,2.0790365
-0.10658982,-0.11903887,-0.12005585,-0.2477987,-0.25755698,-0.27387289,0.07987263,-0.29740802,-0.39269908,0.39269908,0.39269908,0,0,0,0,-0.39269908,0.30757058,0.30593616,0.29741738,0,0.322226,0,0,0.32240869,0,0,0.31211028,0.30583546,0.30485577,0.33831705,0,0.30219333,1.7382498
0.26897566,-0.077910051,-0.018405276,-0.20475526,-0.021112176,0.16763517,0.063990191,-0.19818506,-0.39269908,0,0,-0.39269908,-0.39269908,0.39269908,0.39269908,0.39269908,0.28876498,0.29426423,0,0,0,0.29305441,0.29838413,0,0.2969549,0.29113721,0,0.31226958,0,0.31428865,0,0.29453587,1.8360848
0.15037126,0.19266989,-0.15090277,0.29905834,-0.27476963,0.088045681,0.09362397,0.22846966,0.39269908,0.39269908,0.39269908,0,-0.39269908,-0.39269908,0,0,0.30570166,0,0.29264161,0,0,0.30922437,0,0,0.29135171,0,0,0.29738616,0,0.28624393,0.31941312,0.29167958,1.6263029
0.27700467,-0.22286318,-0.25469773,0.029461051,0.036888437,-0.1664265,0.14394725,0.29515955,0.39269908,0,-0.39269908,0.39269908,0,0,-0.39269908,0.39269908,0.26248934,0,0,0,0.2962925,0,0.33164824,0,0.2939352,0,0,0.31353782,0,0.30093838,0,0,1.0348895
-0.26347363,0.1877374,-0.11313047,-0.09192143,0.11179057,0.19167725,0.13035368,-0.092432838,0.39269908,0,0.39269908,0,0,-0.39269908,0,0.39269908,0.30444819,0.32495331,0,0.29734174,0.31278835,0.30059157,0,0.30707012,0,0,0.29822539,0.29024225,0,0,0.32889302,0,1.5999613
0.17784422,0.11650826,0.31384516,0.061526847,-0.13058908,-0.094056582,0.040446285,-0.059939205,-0.39269908,0.39269908,0.39269908,0,-0.39269908,0,0,0.39269908,0.29745493,0.31303564,0,0.28596931,0.28756003,0,0.31052997,0.28865119,0,0,0.29623436,0,0,0,0.30995108,0.30376017,1.3271234
-0.0070271365,0.018800519,-0.063904148,-0.24064108,0.031666795,0.038024587,0.079288479,-0.062129046,0,0.39269908,0,0,0.39269908,0.39269908,-0.39269908,0.39269908,0.30459004,0.30138475,0,0,0.30102629,0.29382435,0.30841346,0.30266208,0.29198014,0,0,0.28627791,0,0.29670659,0.28636933,0,2.1725442
0.27752127,0.2914621,0.23216775,0.18521896,0.28499868,0.30064422,-0.010225847,0.29346736,0,0,-0.39269908,0.39269908,-0.39269908,0.39269908,-0.39269908,0.39269908,0.3072288,0.29125568,0,0.3090583,0.31064899,0,0.2932952,0.28067714,0.3119657,0,0,0.27990073,0.31896938,0,0,0.30373081,1.8687901
-0.25612616,-0.10206895,-0.16326357,-0.10386947,-0.26525597,-0.23718495,0.31354737,0.083076846,0.39269908,0.39269908,-0.39269908,-0.39269908,0.39269908,0,0,0,0.32126076,0.31492015,0.29335011,0.31819669,0,0.31141354,0.31130668,0,0,0.29494105,0.30119483,0,0.28994915,0,0.28346875,0.30849672,2.0052357
-0.19989544,-0.023408312,-0.09609622,-0.31055111,0.0094769971,-0.31301731,0.029098307,0.22342064,0.39269908,-0.39269908,0.39269908,0,-0.39269908,-0.39269908,-0.39269908,0,0,0.30820798,0.28882248,0.2907819,0.32178014,0.29213915,0.29724927,0,0.29972309,0,0,0,0,0.30340727,0.29888191,0,1.8445318
0.063511383,-0.077362292,-0.23700342,0.22303258,-0.039763498,0.22580471,0.055770382,-0.11843321,0,-0.39269908,0,-0.39269908,-0.39269908,-0.39269908,0,0.39269908,0.31825296,0.27607379,0.29066552,0,0.31528549,0.29818474,0.29367634,0.33946967,0.31589404,0.31077919,0.32080892,0,0.31974778,0,0.29205314,0.29106588,2.523401
-0.19129915,-0.058970396,-0.25713065,-0.019974259,-0.1852768,-0.00061088753,-0.21409016,0.16688296,0,0.39269908,-0.39269908,0,-0.39269908,-0.39269908,0,-0.39269908,0,0,0,0.28690705,0.30889319,0.3040177,0.31439941,0.28903658,0.3093877,0.31190164,0,0.2829524,0.30578644,0,0.31085495,0.32226804,1.7423614
0.1664155,0.29946521,0.28043692,0.2860226,-0.083284557,0.13014261,0.12998853,0.053731993,0.39269908,-0.39269908,0.39269908,0,0.39269908,-0.39269908,0.39269908,0,0,0.30541208,0,0.29239417,0,0.30300861,0,0.29123653,0,0,0,0,0.29833342,0.2921974,0.31282489,0,0.99183914
-0.20841315,0.075931477,0.065391258,0.10176853,0.14065976,-0.29397254,0.30048324,-0.2024851,-0.39269908,-0.39269908,0.39269908,0.39269908,0,0.39269908,-0.39269908,0.39269908,0,0.27307481,0.27909448,0.30673866,0,0.285055,0.31440983,0,0,0,0,0.2849642,0,0.29737098,0,0.28288765,1.2196523
-0.22687235,0.22152918,-0.17474389,-0.15978679,-0.10321885,-0.011790139,-0.23653119,-0.0083394442,0,0.39269908,0.39269908,0,0,-0.39269908,-0.39269908,0,0.30560861,0.30378004,0.31089575,0.29098232,0.30380226,0.32924965,0.30151251,0.28058588,0,0.33027316,0.30386904,0.30369142,0.27647278,0,0,0.30753677,2.8244232
-0.007337657,-0.17356852,0.11689747,-0.056212129,0.23382136,-0.29680744,-0.22183062,0.13490441,-0.39269908,-0.39269908,-0.39269908,0.39269908,0.39269908,-0.39269908,0,0.39269908,0.3109847,0,0.30659643,0,0.29340571,0.28837221,0,0.31573283,0.30844575,0,0,0.31719514,0.29032411,0.3078852,0.28785288,0,1.8918771
0.06943612,0.22536269,0.16662464,0.04469684,-0.24917379,-0.12083585,-0.16257657,0.13285653,-0.39269908,0,0,0,0,0,-0.39269908,0.39269908,0,0.30913226,0.30520894,0.31265941,0,0.30300979,0,0.32086649,0.31868553,0,0.30243861,0.28965784,0.30689241,0,0.29713734,0,1.6740682
0.28255681,0.10078403,-0.06961845,-0.14817912,0.20820683,0.22633949,0.24747058,-0.23060667,0.39269908,0,0,0,0.39269908,0,0.39269908,0.39269908,0.29400405,0.29887009,0.27425858,0.31058009,0,0,0.3026269,0.27727954,0.29005584,0.29100948,0.3116228,0,0.28764303,0,0.32464867,0,1.7094726
-0.22778581,-0.051384294,-0.30616382,0.23342398,-0.064025765,0.22860525,0.00067693506,0.067513985,0,-0.39269908,-0.39269908,-0.39269908,-0.39269908,0,0.39269908,-0.39269908,0.30957842,0,0.29337034,0,0.29466662,0.31417619,0.28120558,0.31897785,0,0,0,0,0.30881359,0,0.31571694,0,1.5251433
-0.025068962,0.26769002,0.30553279,-0.15777453,-0.21240653,0.18941672,-0.16311438,-0.10958687,-0.39269908,0.39269908,0,0,0,0,0,0.39269908,0.30873718,0.28221172,0.29925255,0.29183539,0,0.29822207,0.31316207,0,0.30203129,0,0,0.30808765,0,0.31155012,0,0,1.8555864
-0.18652898,-0.31140095,0.1776533,0.049335089,-0.20561461,-0.012910449,-0.21603002,0.23621301,-0.39269908,0,-0.39269908,-0.39269908,0,0,0,-0.39269908,0,0.31143498,0.29851643,0.30537347,0.32883336,0,0,0.30131997,0.2913731,0,0,0,0.27073485,0.28355802,0,0.28780247,1.5705861
-0.22676459,0.14769605,-0.15899693,-0.022693318,-0.01724096,-0.11397038,0.24295161,-0.15450212,0.39269908,-0.39269908,0.39269908,0,-0.39269908,0.39269908,-0.39269908,0,0.29494314,0,0.29438722,0.29760997,0,0,0.3099522,0.31265966,0.29745276,0,0,0,0,0.31115656,0,0,1.3894142
-0.14258302,0.014059349,0.047704476,0.034678806,-0.23291068,-0.10532817,-0.27733038,-0.2248741,-0.39269908,0,0,-0.39269908,-0.39269908,-0.39269908,0,-0.39269908,0,0.29494923,0.30420342,0.30739116,0,0.26621256,0.31812862,0,0,0.32629382,0,0,0,0.30104633,0.30711042,0,1.7051721
0.11220822,0.2996603,-0.21068883,0.15615624,0.031479941,0.039169585,-0.15460638,0.25597017,0,-0.39269908,0.39269908,-0.39269908,0,0.39269908,0,0.39269908,0.30116939,0.30896463,0,0.3078481,0.28973746,0.29197058,0,0.3074461,0,0.29143934,0.29474479,0.29342807,0.29476109,0.29921959,0.29607197,0.27425894,2.4525117
-0.099409295,-0.073052806,-0.064102851,0.1896656,0.24989751,-0.28196439,-0.19719905,0.055840624,-0.39269908,0,-0.39269908,0.39269908,-0.39269908,0.39269908,0,0.39269908,0.28857543,0.28107445,0,0.29591304,0,0.2737435,0.30862327,0.30389415,0.2999228,0.29166814,0,0.32062082,0,0.30691726,0.26425405,0,2.1541404
-0.1643068,-0.044399146,0.22596169,0.18091132,0.14319117,0.15395674,0.13519372,0.20105664,0,0,0.39269908,0.39269908,0.39269908,0.39269908,-0.39269908,0,0.30214571,0.32486373,0.31564274,0.28478746,0.28585904,0.2889479,0.29247987,0,0,0.30119119,0,0,0.28857799,0,0,0,2.2550389
0.22586288,-0.22309019,-0.30019394,0.038269958,-0.19498826,0.14175858,-0.047440433,0.0048517068,-0.39269908,0,-0.39269908,-0.39269908,0,-0.39269908,0,0,0.2924195,0.30944925,0,0,0.31522775,0.2936428,0.32371958,0.29309488,0,0,0,0,0.31538162,0.29041834,0.29621347,0.32289408,1.7991908
0.089492117,-0.10054943,0.24260454,0.29563014,-0.087176062,0.070747393,0.27277723,-0.27336509,-0.39269908,0.39269908,0.39269908,-0.39269908,0.39269908,0,-0.39269908,0,0.29305677,0,0.28957083,0,0,0,0.28134777,0.29153242,0.27391756,0,0,0,0,0.29426614,0.30042299,0,1.3226292
-0.20957695,-0.006110171,-0.27772296,0.088548886,-0.24547061,-0.085010753,0.020619927,-0.27271527,0,-0.39269908,0,-0.39269908,-0.39269908,0.39269908,-0.39269908,-0.39269908,0,0.29683754,0.28954205,0.28598087,0.32097879,0.27389697,0.2858222,0,0.27780516,0.31098661,0.30930394,0.32602098,0,0,0.31873637,0,2.0162614
-0.12732996,0.018254695,0.18721803,-0.045808758,-0.21759628,0.30153688,-0.086844924,-0.018693789,0,0,0.39269908,0.39269908,-0.39269908,0.39269908,0,0,0.27953031,0.27446525,0.32695714,0.29164575,0.31436449,0.29736063,0.31121367,0.30868047,0,0,0.30600184,0,0.29006089,0,0,0,1.9714514
0.16593749,-0.19456164,-0.2279209,0.19159037,-0.073123942,-0.0030510144,0.24372045,0.2011459,0.39269908,0.39269908,0.39269908,-0.39269908,0,-0.39269908,0.39269908,0.39269908,0.29549023,0.2831987,0.31036659,0.29424956,0,0.30785609,0.2916582,0,0.27558277,0,0.31991442,0,0.30569152,0.30204241,0,0.31345605,2.0243299
-0.13449598,0.21610545,-0.22514057,-0.20335316,0.29624428,0.18159863,-0.24317903,0.10202312,0,0,-0.39269908,0.39269908,-0.39269908,0.39269908,0.39269908,0.39269908,0,0.29346276,0,0.32117036,0.31196332,0.29123078,0.28135844,0.307245,0,0,0,0.28887275,0.31118906,0,0,0.30768063,1.6846133
0.2542442,-0.11206922,0.15158727,-0.1043864,-0.15685386,0.18169265,0.080348364,0.15842499,-0.39269908,-0.39269908,0,0.39269908,0,0.39269908,0,-0.39269908,0.28687254,0.30596246,0.2961134,0,0.30276619,0.30513953,0.31195974,0.31470087,0,0,0,0.30206735,0,0.29142812,0.30726985,0.32185483,1.8615806
-0.14165738,-0.13659281,0.16054044,0.20343962,-0.099823205,-0.11812689,0.12798023,0.22940363,0.39269908,0.39269908,0.39269908,0.39269908,0.39269908,0,-0.39269908,0,0.30309992,0,0,0.28728509,0.3048493,0,0.3123928,0.30176829,0.28421916,0,0,0,0,0.31065385,0,0.33061407,1.8002877
-0.1146059,0.24322142,-0.017974851,0.11789919,-0.18488002,-0.24329631,0.015876758,-0.1947076,-0.39269908,0.39269908,0,-0.39269908,0,-0.39269908,-0.39269908,0.39269908,0,0.30528969,0,0.30684676,0,0.29320001,0.30422194,0.29350486,0.29549791,0,0,0,0.28547527,0.3136227,0.2961496,0,1.7278807
-0.14048238,0.13371352,-0.17227844,-0.19189843,-0.077928653,0.2972616,-0.31318428,-0.26388513,0.39269908,-0.39269908,0.39269908,-0.39269908,0,0.39269908,0,-0.39269908,0.29017894,0.3276008,0.27462428,0.30498282,0.28256652,0.31153155,0.2986124,0.33019085,0.29901124,0.29761154,0,0,0.28896551,0,0.30996714,0.30843863,2.1691863
-0.014337582,0.30256741,0.26859567,-0.18125678,-0.29441013,-0.14254554,0.015622269,-0.073673441,0.39269908,-0.39269908,-0.39269908,0.39269908,-0.39269908,0.39269908,-0.39269908,0,0,0.30976405,0.28037543,0.29420125,0,0.30160455,0.29759561,0.2825298,0,0.31412255,0.30920502,0,0.32947693,0.29189314,0,0,1.6697784
0.2419739,-0.25048398,-0.15006073,-0.00012874279,-0.27882446,-0.20314019,0.10576177,0.024897736,0,0,0,0,-0.39269908,0,-0.39269908,0,0,0.31665846,0,0.3033916,0,0,0,0,0,0,0.30204162,0,0,0,0,0,0.52061107
-0.091309589,-0.28640445,-0.05125849,-0.076737631,0.20857829,0.18630313,0.28545161,-0.25510758,0,0,0.39269908,0.39269908,0,0,0,-0.39269908,0.31035381,0.29755816,0,0.32279277,0,0.30762209,0.32755334,0,0,0.28594543,0.31361687,0.29033079,0.32610675,0,0,0.29966461,1.9050278
-0.20060832,-0.066852994,-0.16474349,0.15587408,-0.31265235,-0.12020878,-0.30483292,-0.017553342,0.39269908,-0.39269908,0,-0.39269908,-0.39269908,0,0,0.39269908,0.31517276,0.31000814,0,0,0.27744339,0.27507549,0.28449169,0.28153851,0,0,0,0,0,0.30283023,0,0,1.40088
0.21013336,-0.067054304,0.22175853,-0.089981819,0.03827084,-0.18016214,-0.11809433,0.046836512,0,0,0,-0.39269908,0.39269908,0.39269908,-0.39269908,0.39269908,0.29603062,0.27978816,0.29413765,0.28946934,0,0,0,0.30072574,0,0.31274785,0.30885252,0.3009226,0.2903268,0.30164672,0.31397912,0,1.9211472
-0.28038302,-0.008447967,0.015006271,0.25467407,0.20132567,0.18532817,0.2356348,0.022359347,0,0,0,0.39269908,-0.39269908,-0.39269908,0.39269908,0.39269908,0,0,0.30815334,0.32242671,0.29171551,0.29701424,0,0.3057882,0.33812991,0.29828683,0,0,0,0,0.30967945,0.3210417,1.5282662
0.080566202,0.049724629,0.058193515,-0.23355062,-0.179425,-0.29535068,-0.24244744,-0.16845338,0,0,0,0.39269908,-0.39269908,-0.39269908,0.39269908,-0.39269908,0.29653782,0,0.33085866,0.30298666,0.30578393,0,0.30362083,0.32948281,0,0.30423939,0.30717506,0,0,0.29893407,0,0,1.7917937
-0.039627741,-0.005805724,-0.18743041,0.24615568,0.2893504,-0.073184196,0.24090056,-0.068853464,0.39269908,0.39269908,0,-0.39269908,0.39269908,-0.39269908,0.39269908,-0.39269908,0.30349685,0.28503476,0.31159644,0.30610985,0.3064642,0.29371091,0.29094896,0.29593809,0.2792634,0.29142025,0,0.30974559,0,0,0.30484518,0,2.6092367
